Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai ;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW)
Standard;Pelican Hill;200;198;5;4;2;3.000.000.000;3.100.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Premium;Puri Widya;150;170;4;4;2;2.500.000.000;2.300.000.000;2.000.000.000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;De Casa;100;100;4;3;2;1.000.000.000;1.500.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Premium;Grand Pakuwon;72;84;3;2;2;1.500.000.000;1.800.000.000;1.400.000.000;Terjual;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;Grand Harvest;60;77;2;2;2;1.100.000.000;1.200.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;Grand Harvest;69;77;2;2;2;1.100.000.000;1.200.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;Grand Harvest;102;93;4;3;2;1.500.000.000;1.450.000.000;1.250.000.000;Terjual;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Standard;Puri Safira;105;80;3;1;1;700.000.000;775.000.000;700.000.000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;Lidah Kulon;148,5;148,5;3;3;2;1.500.000.000;1.750.000.000;1.500.000.000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;Simpang;187;240;4;4;2;2.750.000.000;3.100.000.000;;Belum;Hak Milik (SHM);Timur;Tikungan/Hook;> 2 Mobil
Standard;TWR;105;90;3;2;2;1.000.000.000;1.200.000.000;;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil
Premium;VBM;264;350;7;4;2;4.000.000.000;4.300.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Premium;Prambanan;128;125;4;4;2;3.750.000.000;4.950.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Standard;TPI;119;149;3;1;1;1.750.000.000;1.700.000.000;1.600.000.000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Premium;WBM;240;330;5;4;2;3.500.000.000;3.700.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
